question_id,technique,rank,store_score,cosine_sim,chunk_len,source_file,expected_source,is_expected,latency_ms,preview
q4,Token,1,0.652246,0.596838,311,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,1,8.827,Salmonella should contact their health care provider to report their symptoms and receive care. To report a complaint or adverse event (illness or serious aller
q4,Token,2,0.645303,0.594828,960,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,1,8.827,"Trading Agency LLC, Edison, NJ, with the lot numbers referenced above. Amin Trading Agency LLC purchased these spices, not labeled for distribution in the Unite"
q4,Token,3,0.616799,0.626407,846,core_publications.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,8.827,Investigation of Salmonella Typhimurium Illnesses in the United States Linked to Packaged Leafy Greens Produced at a Controlled Environment Agriculture Indoor H
q4,Token,4,0.612064,0.569275,492,public_health_advisories_investigations_foodborne_illness_outbreaks.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,8.827,- Cucumbers E. coli - Possibly Linked to Certain Farm Rich Products 2012 E.coli - Organic Spinach and Spring Mix Blend Salmonella - Mangoes Salmonella - Sprouts
q4,Token,5,0.607444,0.617638,817,core_publications.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,8.827,"to Seafood Exposure — United States, 2021 . MMWR. May 12, 2023 * Multinational Outbreak of Listeria monocytogenes Infections Linked to Enoki Mushrooms Imported "
q5,Token,1,0.652508,0.622024,920,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,1,9.035,"apple cinnamon fruit puree pouches. Product WanaBana apple cinnamon fruit puree pouches, all lot codes and expiration dates. WanaBana apple cinnamon fruit puree"
q5,Token,2,0.638679,0.605821,995,fda_calls_food_industry_leaders_strengthen_recall_compliance_and_ensur.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,9.035,continued risk of serious illness. FDA issued warning letters in December 2025 to several retailers citing failures to effectuate the recall of adulterated infa
q5,Token,3,0.613704,0.574264,921,fda_issues_warning_letter_manufacturer_apple_cinnamon_fruit_puree_prod.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,9.035,"Constituent Update August 15, 2024 On August 9, 2024, the U.S. Food and Drug Administration issued a Warning Letter to AUSTROFOOD S.A.S. (Austrofood) , the manu"
q5,Token,4,0.611996,0.629021,955,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,1,9.035,"identified WanaBana apple cinnamon fruit puree pouches as a potential shared source of exposure. As part of their investigation, NCDHHS analyzed multiple lots o"
q5,Token,5,0.598736,0.505681,872,so_delicious_dairy_freer_issues_voluntary_recall_salted_caramel_cluste.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,9.035,"best-by dates on and before April 3, 2028. The recalled product was distributed to retail stores within the United States. The issue was identified through cons"
q1,Semantic,1,0.639383,0.673704,658,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,10.087,"The issue was identified through company review, leading to a recall initiated on September 15, 2025. The recall is ongoing. Consumers who have purchased 7.75-o"
q1,Semantic,2,0.544238,0.675777,1296,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,10.087,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 16, 2026 FDA Publish Date: September 18, 2026 Product Type: Food "
q1,Semantic,3,0.519958,0.430612,1060,fda_advises_consumers_and_retailers_not_eat_serve_or_sell_certain_impe.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,0,10.087,Additional Product Images Product: Imperial Nougat Co. manufactured the following cookies and candies that contain allergens not listed on the label: IMPERIAL C
q1,Semantic,4,0.466289,0.386935,2758,fda_issues_warning_letter_bimbo_bakeries_over_food_allergen_labeling_c.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,0,10.087,"Firms are required to accurately list ingredients present in their products. In addition, firms are required to follow good manufacturing practices (GMPs) and i"
q1,Semantic,5,0.465721,0.439463,1557,freshpoint_issues_recall_due_improperly_declared_allergen_egg_chicken_.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,0,10.087,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 08, 2026 FDA Publish Date: September 08, 2026 Product Type: Food "
q2,Semantic,1,0.531373,0.686938,1912,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,1,8.166,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 11, 2026 FDA Publish Date: September 11, 2026 Product Type: Food "
q2,Semantic,2,0.522186,0.512206,3582,fda_calls_food_industry_leaders_strengthen_recall_compliance_and_ensur.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,8.166,"Effective recalls depend on every industry member in the supply chain taking prompt, thorough action. This letter builds upon FDA’s July 9, 2025 letter, FDA Enc"
q2,Semantic,3,0.510657,0.378083,396,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,1,8.166,"Central Time, Saturday-Sunday. Media Contact – [ amazon-pr@amazon.com ] Company Contact Information Consumers: 1-844-936-8255 Media: amazon-pr@amazon.com Produc"
q2,Semantic,4,0.495295,0.509274,777,fda_calls_food_industry_leaders_strengthen_recall_compliance_and_ensur.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,8.166,"December 15, 2025 Dear Industry Leaders, This letter is directed to manufacturers, packers, distributors, exporters, importers, and retailers involved in the ma"
q2,Semantic,5,0.480204,0.468244,658,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,8.166,"The issue was identified through company review, leading to a recall initiated on September 15, 2025. The recall is ongoing. Consumers who have purchased 7.75-o"
q3,Semantic,1,0.602757,0.587108,1336,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,1,6.361,"stores. The recalled bettergoods brand Authentic Italian Lemon Alfredo Fettuccine is frozen and packaged in a 22 oz, yellow plastic, with UPC# 194346442706, mar"
q3,Semantic,2,0.573412,0.552899,895,food_safety_tips_consumers_retailers_during_outbreak_foodborne_illness.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,6.361,Conduct regular frequent cleaning and sanitizing of cutting boards and utensils used in processing to help minimize the likelihood of cross-contamination. Gener
q3,Semantic,3,0.553614,0.535766,3582,fda_calls_food_industry_leaders_strengthen_recall_compliance_and_ensur.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,6.361,"Effective recalls depend on every industry member in the supply chain taking prompt, thorough action. This letter builds upon FDA’s July 9, 2025 letter, FDA Enc"
q3,Semantic,4,0.551247,0.555946,940,food_safety_tips_consumers_retailers_during_outbreak_foodborne_illness.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,6.361,"Determine if cross-contamination with other foods may have happened. Determine the source of the produce, or the supplier if the source of the fresh/frozen prod"
q3,Semantic,5,0.542945,0.515594,441,freshpoint_issues_recall_due_improperly_declared_allergen_egg_chicken_.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,6.361,Customers with questions about the recall can contact: Hernan Martinez at 689-710-4467 Monday through Friday from 9AM to 5PM EST . Company Contact Information C
q4,Semantic,1,0.606899,0.603973,887,public_health_advisories_investigations_foodborne_illness_outbreaks.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,6.206,Listeria - Hispanic-style Cheeses Illnesses - Infused Rice Puffer Fish Poisoning Illness in Virginia Salmonella - Cashew Cheese from the Cultured Kitchen 2013 S
q4,Semantic,2,0.58791,0.562023,2498,core_publications.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,6.206,"MMWR. June 30, 2023. Notes from the Field: Multistate Outbreak of Escherichia coli O157:H7 Infections Linked to a National Fast-Food Chain — United States, 2022"
q4,Semantic,3,0.57746,0.573958,1302,core_publications.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,6.206,"April 15, 2025. Attribution of Salmonella enterica to Food Sources by Using Whole-Genome Sequencing Data. Emerging Infectious Diseases. March 20, 2025. * Recent"
q4,Semantic,4,0.565685,0.549211,927,core_publications.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,6.206,"September 7, 2024. * An Investigation of an Outbreak of Salmonella Typhimurium Infections Linked to Cantaloupe – United States, 2022 . Food Control. July 15, 20"
q4,Semantic,5,0.563678,0.559808,2493,core_publications.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,0,6.206,2018 Evaluation of the U.S. Food and Drug Administration Validated Method for Detection of Cyclospora cayetanensis in High-Risk Fresh Produce Matrices and a Met
q5,Semantic,1,0.633486,0.539816,3090,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,1,6.108,"Product WanaBana apple cinnamon fruit puree pouches, all lot codes and expiration dates. WanaBana apple cinnamon fruit puree pouches are sold nationally and are"
q5,Semantic,2,0.601664,0.544487,5046,fda_issues_warning_letter_manufacturer_apple_cinnamon_fruit_puree_prod.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,6.108,"Food and Drug Administration issued a Warning Letter to AUSTROFOOD S.A.S. (Austrofood) , the manufacturer of the apple cinnamon fruit puree pouches that were re"
q5,Semantic,3,0.569348,0.469033,1578,ap_creations_llc_issues_nationwide_recall_x10_natural_enhancement_supp.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,6.108,"As of September 14, 2026, A&P Creations LLC has not received any reports of adverse events related to this recall. The recalled product be identified as follows"
q5,Semantic,4,0.567117,0.60732,759,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,1,6.108,"November 3, 2023 Since the first alert was issued this investigation has been transferred to FDA’s Coordinated Outbreak Response & Evaluation (CORE) Network for"
q5,Semantic,5,0.557382,0.545733,658,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,6.108,"The issue was identified through company review, leading to a recall initiated on September 15, 2025. The recall is ongoing. Consumers who have purchased 7.75-o"
q1,Sentence-window,1,0.708429,0.687458,174,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,24.725,"The recalled J. HIGGS Loaded Bacon and Cheddar Potato Chips were distributed in the states of Indiana, Kentucky, Ohio, Tennessee, and Maryland and sold in Save "
q1,Sentence-window,2,0.657681,0.589568,254,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,24.725,"The product J. HIGGS Loaded Bacon and Cheddar with UPC code 0-51933-31645-4 comes in a 7.75-ounce, flexible multi-layered laminated metalized package marked wit"
q1,Sentence-window,3,0.607329,0.563484,168,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,24.725,Consumers who have purchased 7.75-ounce packages of J. HIGGS Loaded Bacon and Cheddar Potato Chips are urged to return them to the place of purchase for a full 
q1,Sentence-window,4,0.603857,0.644209,633,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,1,24.725,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 16, 2026 FDA Publish Date: September 18, 2026 Product Type: Food "
q1,Sentence-window,5,0.544817,0.467828,863,fda_advises_consumers_and_retailers_not_eat_serve_or_sell_certain_impe.txt,saratoga_potato_chips_issues_allergy_alert_undeclared_soy_j_higgs_load.txt,0,24.725,manufactured the following cookies and candies that contain allergens not listed on the label: IMPERIAL CHOCOLATE COVERED Chickpea Cookies (8-oz) dated 10.30.26
q2,Sentence-window,1,0.707065,0.573532,179,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,1,24.58,"The cheese was sold in the Specialty cheese department at 18 Whole Foods Market stores in Arizona, California, Connecticut, Massachusetts, New Jersey, New York,"
q2,Sentence-window,2,0.612955,0.666378,506,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,1,24.58,Recalled product was cut and plastic wrapped by the pound with Whole Foods Market scale labels and would be identified as follows: Type of Label Product Descrip
q2,Sentence-window,3,0.569647,0.624987,595,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,1,24.58,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 11, 2026 FDA Publish Date: September 11, 2026 Product Type: Food "
q2,Sentence-window,4,0.543885,0.33146,248,fda_encourages_food_industry_leaders_streamline_enhance_product_recall.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,24.58,"July 9, 2025 Dear Industry Leaders: This letter is directed to manufacturers, packers, distributors, exporters, importers, and retailers involved in the manufac"
q2,Sentence-window,5,0.542123,0.426912,341,fda_calls_food_industry_leaders_strengthen_recall_compliance_and_ensur.txt,whole_foods_market_issues_allergy_alert_undeclared_egg_cabricharme_che.txt,0,24.58,"In one case, recalled product remained available for sale over three weeks after the recall was initiated, and in another case, the recalled product was offered"
q3,Sentence-window,1,0.642946,0.583381,277,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,1,23.334,"The recalled bettergoods brand Authentic Italian Lemon Alfredo Fettuccine is frozen and packaged in a 22 oz, yellow plastic, with UPC# 194346442706, marked with"
q3,Sentence-window,2,0.626207,0.527941,137,fda_advises_public_not_eat_sell_or_serve_certain_imported_frozen_shrim.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,23.334,"Lawrence Wholesale, LLC of Vernon, CA also recalled a limited quantity of Kroger bagged frozen shrimp and Kroger frozen shrimp products. "
q3,Sentence-window,3,0.616044,0.541403,329,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,1,23.334,"More Recalls, Market Withdrawals, & Safety Alerts Summary Company Announcement Date: September 15, 2026 FDA Publish Date: September 15, 2026 Product Type: Food "
q3,Sentence-window,4,0.611381,0.443858,116,fda_advises_public_not_eat_sell_or_serve_certain_imported_frozen_shrim.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,23.334,"August 29, 2025 AquaStar (USA) Corp of Seattle, WA, recalled approximately 26,460 packages of Cocktail Shrimp 6oz . "
q3,Sentence-window,5,0.610259,0.513751,274,public_health_alert_concerning_possible_listeria_contamination_little_.txt,gias_foods_inc_recalls_bettergoods_authentic_italian_lemon_alfredo_fet.txt,0,23.334,"On June 15, 2021, Interstate Food Products indicated to the FDA that they may need to further expand the recall to include “Little Hatch’s” brand Roasted Chili "
q4,Sentence-window,1,0.650803,0.603451,173,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,1,23.61,"Additionally, the FDA has subjected the products to ""Detention Without Physical Examination Of Food Products Due To The Presence Of Salmonella ” under Import Al"
q4,Sentence-window,2,0.640334,0.397844,138,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,1,23.61,"Children younger than five, the elderly, and people with weakened immune systems are more likely to have severe salmonellosis infections. "
q4,Sentence-window,3,0.631803,0.415495,130,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,1,23.61,Symptoms of Salmonella Salmonella  is a group of bacteria that can cause gastrointestinal illness and fever called salmonellosis. 
q4,Sentence-window,4,0.616886,0.397293,162,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,1,23.61,"More severe cases of salmonellosis may include a high fever, aches, headaches, lethargy, a rash, blood in the urine or stool, and in some cases may become fatal"
q4,Sentence-window,5,0.615632,0.50592,281,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,public_health_alert_concerning_recalled_everest_and_maggi_brand_spices.txt,1,23.61,"Purpose The US Food and Drug Administration (FDA) is advising consumers not to purchase or eat Everest Garam Masala, Everest Sambhar Masala, and Maggi Masala ae"
q5,Sentence-window,1,0.73866,0.698388,116,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,1,26.154,WanaBana has agreed to voluntarily recall all WanaBana apple cinnamon fruit puree pouches regardless of expiration. 
q5,Sentence-window,2,0.72372,0.741216,208,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,1,26.154,The FDA has shared the results with the firm whose representatives are cooperating with the FDA and have agreed to voluntarily recall all WanaBana apple cinnamo
q5,Sentence-window,3,0.659071,0.629575,350,fda_calls_food_industry_leaders_strengthen_recall_compliance_and_ensur.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,26.154,"In late 2023, after a recall of Apple Cinnamon Fruit Puree pouches intended for children due to elevated lead contamination, one retailer continued to offer the"
q5,Sentence-window,4,0.655878,0.510313,257,fda_issues_warning_letter_manufacturer_apple_cinnamon_fruit_puree_prod.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,26.154,"Before the recall, Austrofood did not appropriately conduct a hazard analysis to identify and evaluate a known or reasonably foreseeable hazard; in this case, l"
q5,Sentence-window,5,0.618448,0.685541,172,fda_issues_warning_letter_manufacturer_apple_cinnamon_fruit_puree_prod.txt,fda_advises_parents_and_caregivers_not_buy_or_feed_wanabana_apple_cinn.txt,0,26.154,"(Austrofood) , the manufacturer of the apple cinnamon fruit puree pouches that were recalled last year and that were found to contain elevated levels of lead an"
